关键字,说明
abstract,用于定义抽象类或抽象方法。
any,表示任意类型，禁用类型检查。
as,类型断言，用于将某种类型转换为另一种类型。
await,用于异步函数中，暂停代码执行直到 Promise 解决。
boolean,表示布尔类型。
break,退出循环或 switch 语句。
case,用于 switch 语句中的分支。
catch,用于捕获异常。
class,用于定义类。
const,定义常量变量。
continue,跳过当前循环，继续下一次循环。
debugger,启动调试器，暂停代码执行。
declare,声明一个变量或模块，通常用于类型声明文件。
default,定义 switch 语句的默认分支。
delete,删除对象的属性或数组的元素。
do,用于 do...while 循环。
else,定义条件语句中的 else 部分。
enum,定义枚举类型。
export,用于从模块中导出变量、函数或类。
extends,用于类的继承，表示类继承其他类。
FALSE,布尔值 false。
finally,定义 try...catch 语句中的最终执行代码块。
for,用于 for 循环。
from,用于模块导入语句，指定模块的来源。
function,定义函数。
get,用于对象的 getter 方法。
if,用于条件判断。
implements,用于类实现接口。
import,用于从模块中导入内容。
in,用于检查对象中是否包含指定的属性，或用于 for...in 循环。
infer,用于条件类型中推断类型。
instanceof,检查对象是否是指定类的实例。
interface,用于定义接口。
let,定义块级作用域的变量。
module,定义模块（在较早的 TypeScript 版本中使用）。
namespace,定义命名空间（在较早的 TypeScript 版本中使用）。
new,创建类的实例。
null,表示空值。
number,表示数字类型。
object,表示非原始类型。
of,用于 for...of 循环。
package,用于模块系统，标识包。
private,用于类成员的访问修饰符，表示私有。
protected,用于类成员的访问修饰符，表示受保护的。
public,用于类成员的访问修饰符，表示公共的。
readonly,表示只读属性。
require,用于导入 CommonJS 模块。
return,退出函数并可返回值。
set,用于对象的 setter 方法。
string,表示字符串类型。
super,用于调用父类的方法或构造函数。
switch,用于 switch 语句。
symbol,表示符号类型。
this,引用当前类或对象的实例。
throw,抛出异常。
try,用于异常处理语句 try...catch。
TRUE,布尔值 true。
type,用于定义类型别名。
typeof,获取变量或表达式的类型。
undefined,表示未定义的值。
unique,用于 symbol 类型的唯一标识符。
var,用于声明变量（已不推荐使用）。
void,表示没有返回值的类型。
while,用于 while 循环。
with,用于创建一个作用域，在该作用域内可以省略对象的引用（不推荐使用）。
yield,用于生成器函数中，暂停和恢复生成器的执行。
